Date,HINDUNILVR,LT,INFY,HDFCBANK,SBIN,RELIANCE,BHARTIARTL,ICICIBANK,TCS,ITC
2023-09-15,2332.903564453125,2831.5419921875,1375.2047119140625,795.5914306640625,567.1091918945312,1214.28173828125,923.2437133789062,976.44482421875,3297.813720703125,384.8429870605469
2023-09-18,2350.8037109375,2842.542724609375,1357.1912841796875,779.9357299804688,571.9866943359375,1203.7091064453125,907.5136108398438,974.2310791015624,3305.008056640625,388.0188598632813
2023-09-20,2330.21142578125,2813.483154296875,1355.7811279296875,748.6483154296875,569.2874755859375,1176.8826904296875,898.1445922851562,971.2302856445312,3304.91650390625,388.7914123535156
2023-09-21,2336.351318359375,2822.585693359375,1366.2435302734375,743.6929931640625,557.0228881835938,1168.31103515625,905.2946166992188,943.8294067382812,3285.899658203125,384.11334228515625
2023-09-22,2344.947265625,2841.228759765625,1361.1488037109375,732.3462524414062,566.4935913085938,1163.4447021484375,898.8349609375,934.9745483398438,3302.716552734375,380.3366088867188
2023-09-25,2338.713134765625,2825.65234375,1341.1339111328125,732.9925537109375,562.6105346679688,1156.2811279296875,897.8487548828125,940.9269409179688,3278.429931640625,379.9074096679688
2023-09-26,2341.640869140625,2835.436279296875,1328.8519287109375,736.1763305664062,562.9420776367188,1157.2939453125,900.1170043945312,933.400390625,3286.265869140625,379.7786560058594
2023-09-27,2363.17822265625,2886.546142578125,1334.6292724609375,731.005615234375,558.5381469726562,1170.336669921875,907.5629272460938,927.890625,3289.565185546875,385.5296630859375
2023-09-28,2324.071533203125,2930.305908203125,1309.56494140625,729.49755859375,558.7276000976562,1153.1439208984375,912.8884887695312,927.3987426757812,3241.403564453125,378.3194885253906
2023-09-29,2329.03076171875,2943.497314453125,1305.92578125,730.7423706054688,566.8723754882812,1158.5289306640625,913.6281127929688,936.5487670898438,3233.93408203125,381.4524536132813
2023-10-03,2332.147705078125,2991.88134765625,1304.606689453125,722.0048828125,571.03955078125,1145.2637939453125,912.5432739257812,925.1358032226562,3220.415771484375,377.4611511230469
2023-10-04,2368.9404296875,2947.586181640625,1314.0228271484375,732.29833984375,555.2234497070312,1143.287841796875,911.5077514648438,915.0510864257812,3242.31982421875,374.328125
2023-10-05,2379.9921875,3014.07763671875,1331.3992919921875,735.2667236328125,560.8111572265625,1143.26318359375,916.0443725585938,925.6768798828124,3289.611083984375,374.28521728515625
2023-10-06,2360.9580078125,3011.7900390625,1345.2733154296875,734.452880859375,562.7999877929688,1145.18994140625,913.282958984375,929.9568481445312,3318.98486328125,379.5211791992188
2023-10-09,2372.198974609375,2993.292724609375,1342.3165283203125,725.9307861328125,554.1342163085938,1135.4326171875,911.8036499023438,923.4632568359376,3334.51904296875,378.06201171875
2023-10-10,2376.827392578125,2994.55859375,1360.2391357421875,730.0481567382812,560.337646484375,1140.447021484375,935.2755126953124,935.8600463867188,3325.857666015625,381.4524536132813
2023-10-11,2414.801025390625,3006.92236328125,1359.5567626953125,737.1099243164062,557.212158203125,1158.5535888671875,942.425537109375,937.7293701171876,3308.44482421875,384.7571411132813
2023-10-12,2415.36767578125,3000.15625,1333.264404296875,742.017333984375,555.0339965820312,1160.70263671875,937.2479248046876,938.86083984375,3246.719482421875,386.860107421875
2023-10-13,2427.12841796875,3007.798583984375,1302.0140380859375,735.2667236328125,545.6578979492188,1160.6534423828125,941.0448608398438,935.9583740234376,3272.65576171875,384.8429870605469
2023-10-16,2416.59619140625,3019.77294921875,1304.7431640625,732.3223266601562,545.1844482421875,1158.0596923828125,933.5003051757812,936.0568237304688,3229.763916015625,385.3579711914063
2023-10-17,2414.564697265625,2985.115478515625,1312.2943115234375,737.8759765625,545.9420166015625,1163.593017578125,940.5025024414062,938.5164794921876,3214.18359375,389.2205505371094
2023-10-18,2407.102783203125,2964.96337890625,1310.565673828125,727.6065063476562,542.3432006835938,1148.1541748046875,939.7135009765624,928.5302124023438,3196.037109375,387.6755676269531
2023-10-19,2406.961181640625,2973.530517578125,1304.288330078125,725.308349609375,540.9699096679688,1139.33544921875,929.949951171875,920.6591796875,3175.2705078125,386.60260009765625
2023-10-20,2356.943603515625,2932.59375,1298.4658203125,729.066650390625,533.298583984375,1135.8524169921875,932.1689453125,917.7075805664062,3211.01416015625,376.2164916992188
2023-10-23,2345.939208984375,2879.97509765625,1281.5440673828125,721.04736328125,523.685791015625,1118.1162109375,926.3502807617188,914.9527587890624,3133.462646484375,374.156494140625
2023-10-25,2340.082763671875,2838.89208984375,1262.5601806640625,716.4751586914062,526.7637329101562,1115.5225830078125,909.8804931640624,901.3260498046876,3115.03955078125,371.40966796875
2023-10-26,2339.232177734375,2788.755859375,1252.7918701171875,700.6279296875,518.0506591796875,1099.9849853515625,893.0162353515625,893.9962768554688,3066.017822265625,372.8260192871094
2023-10-27,2344.569580078125,2825.068115234375,1272.0521240234375,703.380859375,531.4517822265625,1119.4007568359375,901.9907836914062,898.0301513671875,3079.065673828125,372.3110046386719
2023-10-30,2341.593994140625,2848.870849609375,1269.01123046875,711.0172119140625,535.2874145507812,1142.47265625,913.480224609375,909.9841918945312,3104.426513671875,369.47845458984375
2023-10-31,2346.411376953125,2851.49951171875,1261.0399169921875,706.8997802734375,535.6188354492188,1130.3192138671875,901.7935791015624,900.588134765625,3095.421142578125,367.7187805175781
2023-11-01,2335.31201171875,2818.642822265625,1247.90771484375,705.9421997070312,536.4239501953125,1135.0126953125,900.8566284179688,899.30908203125,3060.412841796875,367.4613037109375
2023-11-02,2366.284912109375,2840.839111328125,1262.65234375,707.0194091796875,541.8222045898438,1146.2767333984375,911.11328125,905.114013671875,3087.47314453125,370.0792846679688
2023-11-03,2387.64697265625,2834.17041015625,1280.069580078125,710.370849609375,547.5520629882812,1146.0296630859375,917.9181518554688,918.7406616210938,3079.02001953125,371.8818054199219
2023-11-06,2376.371337890625,2896.6708984375,1293.20166015625,715.5175170898438,543.9531860351562,1155.564697265625,926.251708984375,930.2027587890624,3105.98828125,373.6843872070313
2023-11-07,2375.467041015625,2882.8955078125,1294.1231689453125,712.0465087890625,549.0673828125,1148.055419921875,924.2299194335938,932.8099975585938,3096.9833984375,371.40966796875
2023-11-08,2397.257568359375,2917.11474609375,1281.8665771484375,714.105224609375,549.5882568359375,1154.033203125,923.8353881835938,920.6591796875,3107.183349609375,375.0577392578125
2023-11-09,2356.67431640625,2944.762939453125,1266.9376220703125,711.280517578125,547.741455078125,1141.50927734375,919.49609375,922.2333374023438,3075.85009765625,372.8689270019531
2023-11-10,2366.046630859375,2952.9404296875,1261.4544677734375,714.0812377929688,548.8306884765625,1143.6583251953125,922.6026611328124,923.4632568359376,3062.98583984375,374.7144165039063
2023-11-13,2358.0537109375,2967.78662109375,1265.7857666015625,712.78857421875,550.5827026367188,1143.5101318359375,922.1095581054688,919.3801879882812,3061.23974609375,374.2423400878906
